OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
317,20,34,88,88
318,22,31,88,88
319,88,88,88,88
320,13,13,14,30
321,14,20,88,88
322,16,56,88,88
323,18,11,88,88
324,5,15,88,88
325,9,3,9,48
326,13,37,14,18
327,22,48,99,99
328,18,42,19,12
329,17,4,17,23
330,1,16,2,19
331,6,45,7,5
332,2,38,88,88
333,16,54,17,20
334,20,45,88,88
335,99,99,88,88
336,18,0,18,42
337,99,99,88,88
338,23,38,99,99
339,8,14,8,59
340,14,30,88,88
341,99,99,99,99
342,7,7,7,23
343,0,18,88,88
344,14,53,15,14
345,8,55,9,21
346,3,49,88,88
347,12,27,88,88
348,14,44,14,58
349,18,4,18,37
350,3,31,88,88
351,22,47,88,88
352,2,5,88,88
353,14,15,15,24
354,17,32,88,88
355,18,50,19,41
356,20,7,20,29
357,4,0,88,88
358,7,25,99,99
359,21,20,88,88
360,21,8,21,27
361,15,0,88,88
362,15,48,88,88
363,14,24,88,88
364,22,6,99,99
365,6,6,99,99
366,22,35,88,88
367,15,56,88,88
368,13,18,99,99
369,11,11,11,41
370,18,15,19,29
371,20,36,21,5
372,11,18,11,43
373,16,36,17,3
374,14,35,15,9
375,22,7,22,42
376,16,39,17,17
377,0,38,88,88
378,99,99,88,88
379,99,99,88,88
380,6,51,88,88
381,3,57,4,22
382,16,24,88,88
383,20,50,88,88
384,18,11,19,10
385,15,24,16,20
386,20,12,20,32
387,6,15,88,88
388,88,88,88,88
389,3,30,88,88
390,16,42,88,88
391,7,1,7,53
392,23,17,88,88
393,2,32,88,88
394,2,13,88,88
395,17,2,88,88
396,3,21,88,88
397,1,52,88,88
398,15,33,99,99
399,4,30,88,88
400,15,51,99,99
401,16,13,16,32
402,14,32,88,88
403,17,12,17,20
404,7,59,88,88
405,8,45,88,88
406,20,28,88,88
407,16,0,88,88
408,12,13,88,88
409,22,51,99,99
410,15,21,88,88
411,19,30,88,88
412,22,37,22,48
413,12,31,88,88
414,99,99,88,88
415,2,51,88,88
416,99,99,88,88
417,10,31,88,88
418,18,34,88,88
419,4,55,88,88
420,18,35,99,99
421,14,12,14,36
422,6,7,6,38
423,9,25,88,88
424,17,24,99,99
425,6,35,88,88
426,23,38,0,28
427,14,50,99,99
428,9,33,10,11
429,23,7,0,0
430,3,46,4,5
431,2,34,88,88
432,3,46,4,22
433,7,0,7,23
434,1,44,88,88
435,4,35,88,88
436,7,18,88,88
437,16,10,88,88
438,3,35,88,88
439,20,38,20,52
440,18,56,88,88
441,22,57,88,88
442,3,0,4,15
443,4,48,99,99
444,0,56,99,99
445,88,88,88,88
446,7,25,7,50
447,6,5,6,40
448,13,32,14,31
449,19,45,19,59
450,2,13,88,88
451,21,44,88,88
452,0,12,0,59
453,14,58,15,34
454,1,23,1,43
455,14,10,14,30
456,99,99,88,88
457,20,21,21,3
458,99,99,88,88
459,18,30,88,88
460,18,40,99,99
461,2,19,88,88
462,15,47,16,41
463,2,7,88,88
464,13,48,14,16
465,8,7,88,88
466,0,35,88,88
467,18,4,18,14
468,0,8,99,99
469,19,46,20,43
470,14,19,14,42
471,14,47,88,88
472,8,56,9,55
473,21,35,99,99
474,20,45,88,88
475,7,57,88,88
476,9,32,9,55
477,16,49,88,88
478,18,30,19,23
479,13,12,88,88
480,17,47,18,4
481,0,50,88,88
482,23,23,88,88
483,14,38,88,88
484,21,0,88,88
485,6,20,88,88
486,1,29,88,88
487,11,10,11,41
488,19,17,99,99
489,20,47,88,88
490,20,35,88,88
491,18,37,88,88
492,5,31,88,88
493,22,25,22,52
494,15,30,16,8
495,8,26,99,99
496,22,40,88,88
497,13,59,88,88
498,21,15,21,53
499,10,9,99,99
500,22,47,99,99
501,2,8,88,88
502,23,31,88,88
503,13,38,14,31
504,1,39,99,99
505,18,21,18,46
506,1,43,88,88
507,4,24,88,88
508,20,58,88,88
509,14,3,14,19
510,14,5,15,18
511,21,27,88,88
512,20,35,88,88
513,15,55,16,39
514,18,59,19,5
515,19,55,20,57
516,20,38,20,55
517,3,55,99,99
518,11,5,99,99
519,15,27,88,88
520,13,10,88,88
521,5,25,99,99
522,14,7,99,99
523,18,37,88,88
524,17,22,17,42
525,1,32,88,88
526,9,23,10,2
527,9,5,88,88
528,10,14,10,23
529,11,24,12,8
530,99,99,88,88
531,21,50,88,88
532,14,37,88,88
533,20,28,21,19
534,19,24,88,88
535,16,18,88,88
536,99,99,88,88
537,19,35,88,88
538,1,25,88,88
539,3,23,3,48
540,7,21,8,35
541,18,21,88,88
542,7,16,99,99
543,9,39,10,19
544,19,29,20,36
545,6,20,7,3
546,9,40,88,88
547,1,55,99,99
548,1,45,2,13
549,8,52,9,4
550,0,38,1,9
551,3,1,3,25
552,22,55,23,19
553,0,27,88,88
554,5,55,88,88
555,20,25,99,99
556,99,99,88,88
557,8,12,8,26
558,21,15,88,88
559,15,22,16,20
560,4,43,88,88
561,5,40,88,88
562,20,10,20,49
563,9,47,10,15
564,12,50,13,20
565,99,99,88,88
566,23,3,23,25
567,19,40,99,99
568,12,45,13,23
569,99,99,88,88
570,15,20,88,88
571,7,21,88,88
572,22,8,88,88
573,21,7,99,99
574,11,28,11,59
575,12,12,99,99
576,1,22,88,88
577,5,8,88,88
578,5,55,6,25
579,7,21,7,50
580,16,22,17,2
581,18,25,19,3
582,18,14,88,88
583,12,15,12,25
584,11,28,88,88
585,99,99,88,88
586,11,38,12,15
587,15,28,16,3
588,13,53,14,36
589,19,47,88,88
590,12,4,12,25
591,17,55,18,37
592,15,0,88,88
593,7,25,88,88
594,5,0,5,52
595,7,0,88,88
596,0,45,88,88
597,6,14,88,88
598,18,10,19,9
599,8,20,9,15
600,13,46,88,88
601,10,9,10,42
602,1,20,88,88
603,19,34,99,99
604,2,45,3,3
605,99,99,88,88
606,2,14,88,88
