OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
4377,99,99,88,88
4378,19,53,99,99
4379,99,99,88,88
4380,10,99,88,88
4381,12,99,99,99
4382,99,99,88,88
4383,8,99,99,99
4384,99,99,88,88
4385,99,99,99,99
4386,17,99,99,99
4387,99,98,88,88
4388,5,99,88,88
4389,99,99,88,88
4390,99,99,99,99
4391,99,99,99,99
4392,99,99,99,99
4393,2,24,88,88
4394,99,99,99,99
4395,99,99,99,99
4396,99,99,88,88
4397,21,99,88,88
4398,99,99,99,99
4399,99,99,99,99
4400,99,99,99,99
4401,21,20,88,88
4402,99,99,88,88
4403,4,52,99,99
4404,99,99,99,99
4405,20,37,88,88
4406,99,99,88,88
4407,22,99,88,88
4408,99,99,88,88
4409,99,99,99,99
4410,99,99,99,99
4411,99,99,99,99
4412,99,99,88,88
4413,4,99,99,99
4414,99,99,88,88
4415,99,99,99,99
4416,11,99,99,99
4417,99,99,99,99
4418,99,99,99,99
4419,99,99,99,99
4420,99,99,99,99
4421,99,99,99,99
4422,99,99,99,99
4423,99,99,99,99
4424,99,99,99,99
4425,99,99,99,99
4426,19,99,99,99
4427,99,99,99,99
4428,99,99,88,88
4429,99,99,99,99
4430,99,99,88,88
4431,99,99,88,88
4432,99,99,88,88
4433,99,99,99,99
4434,99,99,99,99
4435,13,99,13,99
4436,99,99,88,88
4437,20,54,99,99
4438,99,99,88,88
4439,99,99,88,88
4440,99,99,99,99
4441,99,99,88,88
4442,99,99,99,99
4443,99,99,88,88
4444,99,99,99,99
4445,99,99,88,88
4446,19,99,99,99
4447,12,30,99,99
4448,99,99,88,88
4449,99,99,99,99
4450,99,99,88,88
4451,99,99,99,99
4452,23,99,88,88
4453,99,99,88,88
4454,99,99,88,88
4455,99,99,99,99
4456,99,99,88,88
4457,88,88,88,88
4458,23,23,88,88
4459,99,99,99,99
4460,14,99,99,99
4461,99,99,99,99
4462,99,99,99,99
4463,99,99,99,99
4464,99,99,99,99
4465,99,99,99,99
4466,99,99,88,88
4467,1,99,88,88
4468,22,99,88,88
4469,7,46,88,88
4470,99,99,99,99
4471,99,99,88,88
4472,6,99,88,88
4473,99,99,88,88
4474,99,99,99,99
4475,88,88,88,88
4476,99,99,99,99
4477,99,99,88,88
4478,99,99,88,88
4479,99,99,99,99
4480,99,99,99,99
4481,99,99,88,88
4482,99,99,99,99
4483,99,99,88,88
4484,99,99,99,99
4485,1,99,88,88
4486,99,99,88,88
4487,99,99,88,88
4488,21,99,99,99
4489,99,99,88,88
4490,99,99,99,99
4491,99,99,99,99
4492,99,99,99,99
4493,99,99,88,88
4494,99,99,99,99
4495,99,99,99,99
4496,99,99,88,88
4497,99,99,88,88
4498,4,44,88,88
4499,99,99,88,88
4500,17,99,17,99
4501,99,99,99,99
4502,99,99,88,88
4503,99,99,88,88
4504,8,44,88,88
4505,99,99,99,99
4506,99,99,88,88
4507,99,99,88,88
4508,99,99,99,99
4509,99,99,99,99
4510,99,99,99,99
4511,99,99,88,88
4512,99,99,88,88
4513,99,99,99,99
4514,99,99,99,99
4515,99,99,88,88
4516,15,99,99,99
4517,99,99,99,99
4518,99,99,88,88
4519,99,99,88,88
4520,2,99,99,99
4521,99,99,99,99
4522,0,99,99,99
4523,22,99,99,99
4524,99,99,88,88
4525,99,99,99,99
4526,20,99,88,88
4527,99,99,99,99
4528,99,99,88,88
4529,16,99,99,99
4530,99,99,99,99
4531,99,99,99,99
4532,14,99,88,88
4533,99,99,99,99
4534,7,99,99,99
4535,99,99,88,88
4536,99,99,99,99
4537,5,99,88,88
4538,99,99,99,99
4539,6,99,88,88
4540,19,99,88,88
4541,6,99,88,88
4542,99,99,88,88
4543,99,99,88,88
4544,99,99,99,99
4545,0,99,88,88
4546,23,30,88,88
4547,99,99,99,99
4548,99,99,88,88
4549,99,99,88,88
4550,99,99,99,99
4551,99,99,88,88
4552,99,99,88,88
4553,21,99,88,88
4554,99,99,99,99
4555,99,99,88,88
4556,99,99,99,99
4557,99,99,88,88
4558,99,99,88,88
4559,5,99,88,88
4560,99,99,99,99
4561,99,99,99,99
4562,99,99,99,99
4563,16,99,88,88
4564,99,99,99,99
4565,99,99,88,88
4566,18,99,99,99
4567,99,99,99,99
4568,2,99,88,88
4569,99,99,99,99
4570,99,99,99,99
4571,99,99,88,88
4572,99,99,88,88
4573,0,55,99,99
4574,99,99,99,99
4575,21,99,88,88
4576,99,99,88,88
4577,99,99,99,99
4578,99,99,99,99
4579,99,99,99,99
4580,6,33,88,88
4581,19,99,19,99
4582,99,99,99,99
4583,3,99,88,88
4584,99,99,88,88
4585,99,99,88,88
4586,99,99,88,88
4587,99,99,88,88
4588,99,99,99,99
4589,99,99,88,88
4590,13,99,99,99
4591,99,99,88,88
4592,6,99,99,99
4593,99,99,88,88
4594,99,99,88,88
4595,99,99,88,88
4596,99,99,88,88
4597,99,99,88,88
4598,99,99,88,88
4599,99,99,99,99
4600,99,99,88,88
4601,99,99,88,88
4602,99,99,88,88
4603,99,99,99,99
4604,99,99,99,99
4605,99,99,88,88
4606,5,1,88,88
4607,99,99,88,88
4608,99,99,88,88
4609,99,99,99,99
4610,99,99,88,88
4611,99,99,99,99
4612,2,21,99,99
4613,99,99,99,99
4614,99,99,99,99
4615,99,99,88,88
4616,99,99,99,99
4617,99,99,99,99
4618,22,99,99,99
4619,99,99,88,88
4620,99,99,99,99
4621,99,99,99,99
4622,8,99,88,88
4623,99,99,88,88
4624,99,99,99,99
4625,99,99,88,88
4626,99,99,99,99
4627,99,99,99,99
4628,9,99,9,99
4629,23,99,88,88
4630,20,99,88,88
4631,99,99,99,99
4632,99,99,99,99
4633,18,99,88,88
4634,99,99,88,88
4635,99,99,88,88
4636,3,99,88,88
4637,99,99,88,88
4638,99,99,99,99
4639,4,99,99,99
4640,99,99,99,99
4641,99,99,99,99
4642,8,99,88,88
4643,99,99,99,99
4644,99,98,88,88
4645,99,99,88,88
4646,99,99,99,99
4647,99,99,88,88
4648,99,99,99,99
4649,0,99,88,88
4650,6,99,88,88
4651,99,99,99,99
4652,20,99,20,99
4653,99,99,88,88
4654,0,31,88,88
4655,99,99,99,99
4656,99,99,88,88
4657,20,99,88,88
4658,3,99,88,88
4659,14,99,88,88
4660,99,99,88,88
4661,99,99,99,99
4662,4,6,88,88
4663,1,99,88,88
4664,99,99,99,99
4665,16,99,88,88
4666,1,99,99,99
4667,99,99,99,99
4668,99,99,88,88
4669,99,99,99,99
4670,99,99,88,88
4671,99,99,99,99
4672,99,99,88,88
4673,99,99,99,99
4674,99,99,88,88
4675,99,99,88,88
4676,99,99,88,88
4677,99,99,99,99
4678,99,99,88,88
4679,99,99,88,88
4680,99,99,99,99
4681,99,99,99,99
4682,99,99,88,88
4683,99,99,99,99
4684,99,99,99,99
4685,7,6,88,88
4686,99,99,88,88
4687,99,99,99,99
4688,99,99,88,88
4689,99,99,88,88
4690,6,99,88,88
4691,99,99,88,88
4692,99,99,88,88
4693,99,99,88,88
4694,99,99,99,99
4695,99,99,99,99
4696,15,99,88,88
4697,20,99,88,88
4698,99,99,88,88
4699,99,99,88,88
4700,99,99,99,99
4701,99,99,99,99
4702,99,99,99,99
4703,99,99,88,88
4704,5,99,88,88
4705,18,99,99,99
4706,99,99,88,88
4707,99,99,99,99
4708,99,99,99,99
4709,99,99,99,99
4710,16,99,99,99
4711,99,99,88,88
4712,99,99,88,88
4713,99,99,99,99
4714,23,99,88,88
4715,99,99,99,99
4716,99,99,99,99
4717,23,99,88,88
4718,18,99,99,99
4719,99,99,99,99
4720,5,99,88,88
4721,99,99,88,88
4722,12,99,88,88
4723,16,99,99,99
4724,99,99,99,99
4725,99,99,88,88
4726,6,99,88,88
4727,99,99,88,88
4728,99,99,88,88
4729,99,99,99,99
4730,99,99,88,88
4731,16,38,88,88
4732,99,99,99,99
4733,1,99,88,88
4734,99,99,99,99
4735,99,99,88,88
4736,17,99,88,88
4737,99,99,99,99
4738,99,99,99,99
4739,99,99,88,88
4740,99,99,99,99
4741,13,99,99,99
4742,99,99,88,88
4743,17,99,88,88
4744,16,99,99,99
4745,99,99,99,99
4746,99,99,88,88
4747,99,99,99,99
4748,99,99,99,99
4749,19,99,88,88
4750,12,99,88,88
4751,20,99,88,88
4752,99,99,99,99
4753,99,99,88,88
4754,99,99,99,99
4755,22,99,88,88
4756,20,99,99,99
4757,99,99,88,88
4758,99,99,99,99
4759,99,99,88,88
4760,99,99,88,88
4761,99,99,88,88
4762,99,99,88,88
4763,99,99,99,99
4764,99,99,99,99
4765,99,99,99,99
4766,10,99,88,88
4767,99,99,88,88
4768,99,99,99,99
4769,22,99,99,99
4770,17,35,88,88
4771,99,99,99,99
4772,99,99,88,88
4773,99,99,99,99
4774,15,99,88,88
4775,99,99,99,99
4776,5,99,99,99
4777,99,99,88,88
4778,99,99,88,88
4779,18,99,99,99
4780,99,99,99,99
4781,99,99,99,99
4782,99,99,99,99
4783,99,99,99,99
4784,99,99,88,88
4785,99,99,88,88
4786,99,99,99,99
4787,21,99,88,88
4788,99,99,88,88
4789,99,99,99,99
4790,99,99,99,99
4791,99,99,99,99
4792,99,99,99,99
4793,99,99,88,88
4794,99,99,99,99
4795,99,99,99,99
4796,99,99,99,99
4797,99,99,99,99
4798,99,99,99,99
4799,99,99,88,88
4800,99,99,88,88
4801,99,99,99,99
4802,4,99,88,88
4803,99,99,20,46
4804,99,99,99,99
4805,99,99,88,88
4806,99,99,99,99
4807,99,99,88,88
4808,14,99,88,88
4809,6,99,99,99
4810,99,99,88,88
4811,99,99,88,88
4812,99,99,88,88
4813,99,99,88,88
4814,99,99,99,99
4815,99,99,99,99
4816,99,99,88,88
4817,99,99,99,99
4818,99,99,88,88
4819,99,99,99,99
4820,21,99,88,88
4821,99,99,99,99
4822,99,99,99,99
4823,99,99,99,99
4824,3,99,88,88
4825,99,99,88,88
4826,99,99,99,99
4827,99,99,99,99
4828,99,99,99,99
4829,21,9,88,88
4830,99,99,99,99
4831,20,45,99,99
4832,99,99,99,99
4833,11,99,88,88
4834,15,99,88,88
4835,99,99,99,99
4836,99,99,99,99
4837,99,99,88,88
4838,23,99,99,99
4839,99,99,99,99
4840,99,99,88,88
4841,99,99,99,99
4842,99,99,88,88
4843,99,99,99,99
4844,22,99,99,99
4845,99,99,88,88
4846,99,99,99,99
4847,99,99,88,88
4848,99,99,99,99
4849,16,99,99,99
4850,99,99,88,88
4851,99,99,99,99
4852,99,99,88,88
4853,99,99,88,88
4854,99,99,99,99
4855,17,99,99,99
4856,99,99,99,99
4857,99,99,88,88
4858,99,99,99,99
4859,99,99,99,99
4860,99,99,99,99
4861,99,99,88,88
4862,19,99,99,99
4863,99,99,88,88
4864,20,99,88,88
4865,99,99,88,88
4866,99,99,88,88
4867,99,99,88,88
4868,99,99,88,88
4869,7,99,99,99
4870,99,98,88,88
4871,23,99,88,88
4872,99,99,99,99
4873,99,99,88,88
4874,99,99,99,99
4875,19,0,99,99
4876,99,99,88,88
4877,99,99,88,88
4878,99,99,88,88
4879,99,99,99,99
4880,23,99,99,99
4881,99,99,99,99
4882,99,99,88,88
4883,99,99,88,88
4884,99,99,99,99
4885,99,99,99,99
4886,99,99,88,88
4887,99,99,99,99
4888,0,99,88,88
4889,99,99,99,99
4890,99,99,88,88
4891,99,99,88,88
4892,99,99,88,88
4893,99,99,99,99
4894,99,99,88,88
4895,99,99,88,88
4896,99,99,99,99
4897,99,99,88,88
4898,99,99,99,99
4899,18,99,99,99
4900,99,99,88,88
4901,99,99,88,88
4902,99,99,99,99
4903,99,99,88,88
4904,99,99,99,99
4905,99,99,99,99
4906,99,99,88,88
4907,5,99,99,99
4908,99,99,12,4
4909,99,99,99,99
4910,99,99,99,99
4911,15,99,88,88
4912,99,99,99,99
4913,0,99,99,99
4914,99,99,99,99
4915,99,99,99,99
4916,99,99,88,88
4917,99,99,99,99
4918,99,99,88,88
4919,19,99,88,88
4920,99,99,88,88
4921,99,99,99,99
4922,14,99,14,99
4923,99,99,99,99
4924,99,99,99,99
4925,99,99,99,99
4926,99,99,88,88
4927,99,99,99,99
4928,99,99,99,99
4929,13,99,88,88
4930,99,99,88,88
4931,99,99,99,99
4932,99,99,99,99
4933,7,99,88,88
4934,99,99,88,88
4935,13,99,88,88
4936,99,99,88,88
4937,99,99,99,99
4938,99,99,88,88
4939,99,99,88,88
4940,22,9,88,88
4941,8,99,88,88
4942,99,99,99,99
4943,13,99,99,99
4944,5,99,99,99
4945,99,99,99,99
4946,99,99,99,99
4947,3,10,88,88
4948,5,99,99,99
4949,2,99,99,99
4950,20,10,88,88
4951,99,99,88,88
4952,14,99,99,99
4953,99,99,88,88
4954,99,99,99,99
4955,99,99,88,88
4956,99,99,99,99
4957,99,99,2,54
4958,2,99,88,88
4959,99,99,88,88
4960,10,99,88,88
4961,99,99,99,99
4962,99,99,88,88
4963,99,99,99,99
4964,99,99,88,88
4965,15,99,99,99
4966,99,99,99,99
4967,99,99,88,88
4968,99,99,99,99
4969,99,99,88,88
4970,99,99,88,88
4971,99,99,99,99
4972,99,99,88,88
4973,1,99,99,99
4974,99,99,99,99
4975,99,99,99,99
4976,3,99,88,88
4977,99,99,88,88
4978,2,99,99,99
4979,99,99,99,99
4980,14,99,88,88
4981,3,99,88,88
4982,99,99,99,99
4983,99,99,99,99
4984,99,99,88,88
4985,99,99,99,99
4986,99,99,99,99
4987,99,99,99,99
4988,99,99,88,88
4989,99,99,99,99
4990,99,99,99,99
4991,99,99,88,88
4992,99,98,88,88
4993,99,99,99,99
4994,8,99,99,99
4995,99,99,99,99
4996,99,99,99,99
4997,99,99,88,88
4998,99,99,99,99
4999,99,99,99,99
5000,21,99,99,99
5001,99,99,88,88
5002,99,99,88,88
5003,99,99,88,88
5004,99,99,99,99
5005,99,99,88,88
5006,99,99,88,88
5007,99,99,88,88
5008,99,99,88,88
5009,20,14,99,99
5010,99,99,99,99
5011,99,99,99,99
5012,99,99,99,99
5013,99,99,99,99
5014,99,99,88,88
5015,99,99,88,88
5016,99,99,99,99
5017,22,99,99,99
5018,99,99,88,88
5019,99,99,88,88
5020,99,99,99,99
5021,99,99,88,88
5022,8,99,88,88
5023,22,16,88,88
5024,99,99,88,88
5025,99,99,88,88
5026,1,99,88,88
5027,99,99,99,99
5028,22,0,88,88
5029,99,99,99,99
5030,99,99,88,88
5031,17,27,88,88
5032,9,58,99,99
5033,99,99,88,88
5034,99,99,99,99
5035,99,99,99,99
5036,10,5,88,88
5037,99,99,99,99
5038,7,99,88,88
5039,99,99,88,88
5040,99,99,88,88
5041,99,99,88,88
5042,99,99,99,99
5043,17,99,99,99
5044,3,44,88,88
5045,99,99,88,88
5046,99,99,99,99
5047,99,99,99,99
5048,99,99,88,88
5049,99,99,88,88
5050,23,99,88,88
5051,99,99,99,99
5052,18,99,88,88
5053,4,99,88,88
5054,99,99,99,99
5055,99,99,88,88
5056,99,99,99,99
5057,99,99,88,88
5058,99,99,99,99
5059,99,99,99,99
5060,99,99,88,88
5061,99,99,99,99
5062,99,99,99,99
5063,99,99,88,88
5064,17,99,99,99
5065,99,98,88,88
5066,1,12,88,88
5067,99,99,88,88
5068,17,99,88,88
5069,99,99,99,99
5070,99,99,88,88
5071,99,99,99,99
5072,99,99,99,99
5073,99,99,88,88
5074,99,99,88,88
5075,99,99,88,88
5076,99,99,99,99
5077,99,99,88,88
5078,99,99,88,88
5079,99,99,99,99
5080,99,99,99,99
5081,1,99,99,99
5082,99,99,99,99
5083,99,99,99,99
5084,22,99,88,88
5085,99,99,99,99
5086,23,28,99,99
5087,99,99,99,99
5088,99,99,99,99
5089,99,99,88,88
5090,15,99,99,99
5091,11,99,88,88
5092,1,99,99,99
5093,99,99,88,88
5094,99,99,88,88
5095,99,99,99,99
5096,99,99,99,99
5097,21,99,88,88
5098,99,99,99,99
5099,20,99,88,88
5100,99,99,99,99
5101,99,99,99,99
5102,22,99,99,99
5103,6,99,88,88
5104,99,99,99,99
5105,99,99,99,99
5106,99,99,99,99
5107,99,99,99,99
5108,99,98,88,88
5109,99,99,99,99
5110,99,99,99,99
5111,99,99,99,99
5112,99,99,99,99
5113,99,99,99,99
5114,23,99,99,99
5115,12,99,99,99
5116,21,99,88,88
5117,99,99,99,99
5118,99,99,99,99
5119,99,99,99,99
5120,99,99,99,99
5121,99,99,99,99
5122,99,99,99,99
5123,23,99,99,99
5124,99,99,88,88
5125,20,99,88,88
5126,1,8,99,99
5127,99,99,88,88
5128,3,99,88,88
5129,99,99,88,88
5130,99,99,99,99
5131,19,99,99,99
5132,99,99,99,99
5133,99,99,99,99
5134,99,99,88,88
5135,16,55,99,99
5136,99,99,99,99
5137,99,99,88,88
5138,99,99,99,99
5139,99,99,99,99
5140,99,99,99,99
5141,99,99,99,99
5142,14,99,99,99
5143,99,99,88,88
5144,99,99,99,99
5145,99,99,88,88
5146,22,34,88,88
5147,1,99,99,99
5148,3,30,88,88
5149,11,55,99,99
5150,99,99,88,88
5151,99,99,99,99
5152,99,99,99,99
5153,99,99,88,88
5154,0,33,88,88
5155,99,99,99,99
5156,99,99,99,99
5157,17,56,88,88
5158,99,99,88,88
5159,99,99,99,99
5160,21,99,88,88
5161,19,99,88,88
5162,99,99,99,99
5163,99,99,99,99
5164,99,99,88,88
5165,99,99,88,88
5166,5,99,99,99
5167,99,99,99,99
5168,99,99,99,99
5169,99,99,88,88
5170,99,99,88,88
5171,99,99,99,99
5172,99,99,99,99
5173,9,99,88,88
5174,8,99,99,99
5175,18,99,88,88
5176,99,99,99,99
5177,20,99,88,88
5178,22,99,99,99
5179,99,99,88,88
5180,99,99,99,99
5181,99,99,88,88
5182,22,99,88,88
5183,2,99,88,88
5184,3,99,99,99
5185,22,99,88,88
5186,99,99,99,99
5187,99,99,88,88
5188,0,99,99,99
5189,18,99,88,88
5190,99,99,99,99
5191,99,99,99,99
5192,99,99,88,88
5193,99,99,88,88
5194,99,99,88,88
5195,99,99,99,99
5196,99,99,88,88
5197,99,99,88,88
5198,21,99,99,99
5199,99,99,99,99
5200,99,99,88,88
5201,99,99,99,99
5202,99,99,88,88
5203,99,99,88,88
5204,21,99,88,88
5205,99,99,88,88
5206,99,99,88,88
5207,12,99,88,88
5208,99,99,88,88
5209,99,99,99,99
5210,99,99,99,99
5211,12,59,99,99
5212,99,99,99,99
5213,23,99,23,99
5214,99,99,88,88
5215,99,99,99,99
5216,99,99,99,99
5217,99,99,88,88
5218,99,99,88,88
5219,4,99,88,88
5220,99,99,99,99
5221,15,99,99,99
5222,99,99,99,99
5223,99,99,99,99
5224,99,99,88,88
5225,99,99,88,88
5226,18,99,99,99
5227,99,99,88,88
5228,99,99,99,99
5229,0,99,99,99
5230,99,99,99,99
5231,12,99,99,99
5232,99,99,88,88
5233,99,99,99,99
5234,23,0,88,88
5235,99,99,88,88
5236,99,99,99,99
5237,10,99,99,99
5238,99,99,99,99
5239,99,99,88,88
5240,11,99,88,88
5241,8,99,8,99
5242,22,99,99,99
5243,99,99,88,88
5244,11,99,99,99
5245,99,99,88,88
5246,11,30,88,88
5247,99,99,99,99
5248,99,99,99,99
5249,99,99,88,88
5250,22,99,88,88
5251,99,99,99,99
5252,99,99,88,88
5253,99,99,99,99
5254,3,99,88,88
5255,99,99,99,99
5256,99,99,99,99
5257,99,99,88,88
5258,99,99,99,99
5259,1,99,99,99
5260,99,99,88,88
5261,99,99,88,88
5262,99,99,99,99
5263,99,99,99,99
5264,99,99,99,99
5265,99,99,99,99
5266,99,99,88,88
5267,99,99,88,88
5268,7,99,88,88
5269,99,99,88,88
5270,99,99,99,99
5271,99,99,88,88
5272,99,99,88,88
5273,99,99,88,88
5274,99,99,99,99
5275,99,99,99,99
5276,99,99,99,99
5277,99,99,88,88
5278,99,99,88,88
5279,99,99,99,99
5280,99,99,99,99
5281,99,99,99,99
5282,99,99,99,99
5283,5,99,99,99
5284,4,99,88,88
5285,99,99,88,88
5286,99,99,88,88
5287,99,99,88,88
5288,99,99,88,88
5289,99,99,99,99
5290,99,99,99,99
5291,99,99,99,99
5292,6,99,88,88
5293,99,99,99,99
5294,99,99,88,88
5295,99,99,99,99
5296,17,31,99,99
5297,99,99,99,99
5298,99,99,99,99
5299,99,99,88,88
5300,99,99,99,99
5301,1,99,88,88
5302,99,99,88,88
5303,19,99,88,88
5304,99,99,99,99
5305,2,99,88,88
5306,99,99,99,99
5307,99,99,88,88
5308,99,99,88,88
5309,99,99,88,88
5310,99,99,99,99
5311,99,99,99,99
5312,99,99,99,99
5313,99,99,99,99
5314,99,99,88,88
5315,99,99,99,99
5316,99,99,88,88
5317,99,99,99,99
5318,99,99,99,99
5319,6,14,88,88
5320,99,99,99,99
5321,99,99,88,88
5322,12,10,99,99
5323,99,99,99,99
5324,21,99,21,99
5325,18,99,99,99
5326,99,99,99,99
5327,99,99,99,99
5328,99,99,99,99
5329,5,99,88,88
5330,99,99,88,88
5331,99,99,88,88
5332,99,99,88,88
5333,15,99,99,99
5334,99,99,99,99
5335,99,99,88,88
5336,99,99,99,99
5337,99,99,99,99
5338,99,99,99,99
5339,99,99,99,99
5340,99,99,99,99
5341,99,99,88,88
5342,99,99,99,99
5343,18,99,88,88
5344,23,99,88,88
5345,18,99,18,99
5346,22,5,88,88
5347,99,99,88,88
5348,99,99,88,88
5349,99,99,88,88
5350,1,99,88,88
5351,8,99,88,88
5352,15,49,88,88
5353,0,52,88,88
5354,99,99,88,88
5355,99,99,99,99
5356,23,0,88,88
5357,5,36,88,88
5358,99,99,88,88
5359,99,99,99,99
5360,99,99,99,99
5361,99,99,99,99
5362,99,99,88,88
5363,99,99,99,99
5364,99,99,88,88
5365,99,99,99,99
5366,16,99,16,99
5367,99,99,88,88
5368,9,99,9,99
5369,99,99,99,99
5370,17,99,88,88
5371,99,99,99,99
5372,99,99,99,99
5373,99,99,88,88
5374,99,99,99,99
5375,6,55,88,88
5376,99,99,88,88
5377,15,99,88,88
5378,21,99,99,99
5379,99,99,99,99
5380,99,99,99,99
5381,21,5,88,88
5382,15,14,99,99
5383,99,99,88,88
5384,99,99,88,88
5385,9,99,88,88
5386,99,99,99,99
5387,11,99,99,99
5388,99,99,99,99
5389,16,99,99,99
5390,99,99,88,88
5391,99,99,99,99
5392,99,99,99,99
5393,99,99,99,99
5394,99,99,99,99
5395,99,99,99,99
5396,99,99,88,88
5397,99,99,99,99
5398,12,39,88,88
5399,20,23,99,99
5400,99,99,88,88
5401,21,99,88,88
5402,99,99,88,88
5403,99,99,88,88
5404,6,99,99,99
5405,99,99,99,99
5406,22,20,99,99
5407,99,99,99,99
5408,99,99,99,99
5409,23,28,88,88
5410,99,99,99,99
5411,1,5,88,88
5412,99,99,99,99
5413,99,99,99,99
5414,99,99,99,99
5415,2,17,88,88
5416,99,99,99,99
5417,99,99,88,88
5418,99,99,99,99
5419,99,99,99,99
5420,99,99,99,99
5421,99,99,88,88
5422,15,99,99,99
5423,99,99,99,99
5424,0,99,88,88
5425,16,99,88,88
5426,99,99,88,88
5427,20,21,88,88
5428,99,99,99,99
5429,99,99,88,88
5430,99,99,88,88
5431,11,99,99,99
5432,2,99,88,88
5433,23,99,88,88
5434,4,99,88,88
5435,0,22,88,88
5436,99,99,88,88
5437,12,99,88,88
5438,99,99,99,99
5439,12,99,88,88
5440,99,99,99,99
5441,99,99,99,99
5442,99,99,88,88
5443,21,19,99,99
5444,99,99,88,88
5445,99,99,88,88
5446,5,15,88,88
5447,99,99,88,88
5448,2,99,88,88
5449,99,99,99,99
5450,99,99,88,88
5451,0,99,99,99
5452,99,99,99,99
5453,15,99,88,88
5454,99,99,99,99
5455,99,99,99,99
5456,99,99,99,99
5457,99,99,99,99
5458,7,41,88,88
5459,99,99,99,99
5460,99,99,88,88
5461,99,99,88,88
5462,99,99,99,99
5463,99,99,99,99
5464,99,99,88,88
5465,99,99,88,88
5466,99,99,88,88
5467,99,99,88,88
5468,20,99,99,99
5469,6,32,88,88
5470,99,99,99,99
5471,17,99,99,99
5472,2,99,88,88
5473,0,30,88,88
5474,99,99,99,99
5475,99,99,99,99
5476,99,99,88,88
5477,99,99,99,99
5478,0,57,88,88
5479,21,99,99,99
5480,99,99,99,99
5481,14,99,88,88
5482,99,99,88,88
5483,99,99,99,99
5484,99,99,99,99
5485,99,99,88,88
5486,18,99,88,88
5487,99,99,88,88
5488,99,99,88,88
5489,99,99,88,88
5490,99,99,88,88
5491,99,99,99,99
5492,99,99,99,99
5493,99,99,88,88
5494,99,99,88,88
5495,99,99,99,99
5496,99,99,99,99
5497,11,99,88,88
5498,13,99,88,88
5499,0,45,88,88
5500,0,99,99,99
5501,99,99,88,88
5502,99,99,99,99
5503,18,99,88,88
5504,99,99,99,99
5505,99,99,88,88
5506,99,99,99,99
5507,99,99,99,99
5508,99,99,88,88
5509,99,99,99,99
5510,99,99,99,99
5511,99,99,88,88
5512,16,99,88,88
5513,99,99,99,99
5514,17,99,99,99
5515,99,99,99,99
5516,99,99,99,99
5517,0,99,99,99
5518,99,99,99,99
5519,99,99,99,99
5520,99,99,88,88
5521,99,99,99,99
5522,99,99,99,99
5523,99,99,99,99
5524,99,99,88,88
5525,99,99,88,88
5526,99,99,99,99
5527,20,7,88,88
5528,5,99,99,99
5529,99,99,99,99
5530,99,99,88,88
5531,99,99,88,88
5532,0,99,88,88
5533,99,99,99,99
5534,99,99,99,99
5535,99,99,99,99
5536,99,99,99,99
5537,99,99,88,88
5538,99,99,88,88
5539,99,99,88,88
5540,99,99,99,99
5541,99,99,99,99
5542,4,99,88,88
5543,15,99,88,88
5544,99,99,99,99
5545,22,52,99,99
5546,4,99,88,88
5547,99,99,88,88
5548,12,99,88,88
5549,99,99,99,99
5550,99,99,88,88
5551,16,99,99,99
5552,99,99,88,88
5553,99,99,99,99
5554,99,99,99,99
5555,99,99,99,99
5556,5,99,88,88
5557,99,99,88,88
5558,99,99,88,88
5559,99,99,99,99
5560,5,99,99,99
5561,23,99,88,88
5562,99,99,88,88
5563,99,99,88,88
5564,2,99,99,99
5565,12,3,88,88
5566,99,99,99,99
5567,21,99,88,88
5568,99,99,99,99
5569,99,99,88,88
5570,3,21,99,99
5571,99,99,88,88
5572,99,99,99,99
5573,19,99,99,99
5574,99,99,88,88
5575,99,99,99,99
5576,99,99,99,99
5577,99,99,99,99
5578,99,99,88,88
5579,99,99,88,88
5580,99,99,99,99
5581,99,99,99,99
5582,99,99,99,99
5583,99,99,99,99
5584,99,99,99,99
5585,99,99,99,99
5586,99,99,88,88
5587,99,99,99,99
5588,21,13,99,99
5589,20,99,99,99
5590,99,99,88,88
5591,3,99,88,88
5592,99,99,99,99
5593,99,99,99,99
5594,99,99,88,88
5595,13,7,88,88
5596,99,99,99,99
5597,99,99,99,99
5598,3,55,88,88
5599,7,99,88,88
5600,99,99,88,88
5601,4,99,88,88
5602,99,99,99,99
5603,18,4,99,99
5604,21,99,99,99
5605,3,99,88,88
5606,99,99,99,99
5607,99,99,99,99
5608,99,99,88,88
5609,99,99,99,99
5610,99,99,99,99
5611,99,99,88,88
5612,99,99,99,99
5613,3,6,99,99
5614,11,99,99,99
5615,99,99,88,88
5616,17,99,88,88
5617,7,99,7,99
5618,99,99,99,99
5619,23,50,99,99
5620,99,99,99,99
5621,11,37,99,99
5622,12,46,99,99
5623,99,99,99,99
5624,99,99,88,88
5625,99,99,99,99
5626,99,99,99,99
5627,7,99,99,99
5628,23,31,99,99
5629,5,99,88,88
5630,99,99,99,99
5631,99,99,88,88
5632,99,99,99,99
5633,1,57,88,88
5634,23,29,88,88
5635,99,99,99,99
5636,22,15,88,88
5637,99,99,99,99
5638,99,99,99,99
5639,99,99,88,88
5640,99,99,88,88
5641,99,99,99,99
5642,99,99,88,88
5643,2,99,88,88
5644,17,22,88,88
5645,99,99,99,99
