OBJECTID,ST_CASE,FATALS,PERSONS,VE_TOTAL,VE_FORMS,PEDS,PERNOTMVIT,SCH_BUS,RAIL,WRK_ZONE
17779,230025,1,1,1,1,0,0,0,0000000,0
17780,230026,1,8,3,3,0,0,0,0000000,0
17781,230027,1,1,1,1,0,0,0,0000000,0
17782,230028,1,4,1,1,0,0,0,0000000,0
17783,230029,2,4,2,2,0,0,0,0000000,0
17784,230030,1,3,3,3,0,0,0,0000000,0
17785,230031,1,2,2,2,0,0,0,0000000,0
17786,230032,1,2,2,2,0,0,0,0000000,0
17787,230033,1,1,1,1,0,0,0,0000000,0
17788,230034,1,1,1,1,0,0,0,0000000,0
17789,230035,1,2,2,2,0,0,0,0000000,0
17790,230036,1,3,3,3,0,0,0,0000000,0
17791,230037,1,1,1,1,0,0,0,0000000,0
17792,230038,1,1,1,1,1,1,0,0000000,0
17793,230039,1,1,1,1,0,0,0,0000000,0
17794,230040,1,8,4,4,0,0,0,0000000,0
17795,230041,1,1,1,1,0,0,0,0000000,0
17796,230042,1,1,1,1,0,0,0,0000000,0
17797,230043,1,1,1,1,0,0,0,0000000,0
17798,230044,1,2,1,1,0,0,0,0000000,0
17799,230045,1,2,1,1,0,0,0,0000000,0
17800,230046,1,1,1,1,0,0,0,0000000,0
17801,230047,1,1,1,1,1,1,0,0000000,0
17802,230048,1,2,1,1,0,0,0,0000000,0
17803,230049,1,1,1,1,1,1,0,0000000,0
17804,230050,1,1,1,1,0,0,0,0000000,0
17805,230051,1,1,1,1,0,0,0,0000000,0
17806,230052,1,2,2,2,0,0,0,0000000,0
17807,230053,1,2,1,1,0,0,0,0000000,0
17808,230054,1,1,1,1,0,0,0,0000000,0
17809,230055,1,4,3,3,0,0,0,0000000,0
17810,230056,1,2,1,1,0,0,0,0000000,0
17811,230057,1,2,2,2,0,0,0,0000000,0
17812,230058,1,1,1,1,0,0,0,0000000,0
17813,230059,1,1,2,1,0,0,0,0000000,0
17814,230060,1,3,2,2,0,0,0,0000000,0
17815,230061,1,2,2,2,0,0,1,0000000,0
17816,230062,1,1,1,1,0,0,0,0000000,0
17817,230063,1,1,1,1,1,1,0,0000000,0
17818,230064,1,4,2,2,0,0,0,0000000,0
17819,230065,1,1,1,1,0,0,0,0000000,0
17820,230066,1,1,1,1,0,0,0,0000000,0
17821,230067,1,1,1,1,0,0,0,0000000,0
17822,230068,1,4,2,2,0,0,0,0000000,4
17823,230069,1,1,1,1,0,0,0,0000000,0
17824,230070,1,1,1,1,0,0,0,0000000,0
17825,230071,1,1,1,1,0,0,0,0000000,0
17826,230072,1,3,2,2,0,0,0,0000000,0
17827,230073,1,1,1,1,0,0,0,0000000,0
17828,230074,1,3,2,2,0,0,0,0000000,0
17829,230075,1,1,1,1,0,0,0,0000000,0
17830,230076,1,1,1,1,0,0,0,0000000,0
17831,230077,1,1,1,1,0,0,0,0000000,0
17832,230078,1,5,2,2,0,0,0,0000000,0
17833,230079,1,2,1,1,0,0,0,0000000,0
17834,230080,1,1,1,1,0,0,0,0000000,0
17835,230081,2,2,2,2,0,0,0,0000000,0
17836,230082,1,3,2,2,0,0,0,0000000,0
17837,230083,1,3,2,2,0,0,0,0000000,0
17838,230084,1,1,1,1,0,0,0,0000000,0
17839,230085,1,1,1,1,0,0,0,0000000,0
17840,230086,1,2,2,2,0,0,0,0000000,0
17841,230087,1,2,1,1,0,0,0,0000000,0
17842,230088,1,2,2,2,0,0,0,0000000,0
17843,230089,1,2,1,1,0,0,0,0000000,0
17844,230090,1,2,2,2,0,0,0,0000000,0
17845,230091,1,6,2,2,0,0,0,0000000,0
17846,230092,1,3,2,2,0,0,0,0000000,0
17847,230093,1,2,2,2,0,0,0,0000000,0
17848,230094,1,2,2,2,0,0,0,0000000,0
17849,230095,1,1,1,1,0,0,0,0000000,0
17850,230096,1,1,1,1,1,1,0,0000000,0
17851,230097,1,2,2,2,0,0,0,0000000,0
17852,230098,1,1,1,1,0,0,0,0000000,0
17853,230099,1,4,2,2,0,0,0,0000000,0
17854,230100,2,4,2,2,0,0,0,0000000,0
17855,230101,1,1,1,1,0,0,0,0000000,0
17856,230102,1,1,1,1,1,1,0,0000000,0
17857,230103,1,1,1,1,0,0,0,0000000,0
17858,230104,1,2,1,1,0,0,0,0000000,0
17859,230105,1,2,2,2,0,0,0,0000000,0
17860,230106,1,2,2,2,0,0,0,0000000,0
17861,230107,1,1,1,1,0,0,0,0000000,0
17862,230108,2,3,2,2,0,0,0,0000000,0
17863,230109,1,5,2,2,0,0,0,0000000,0
17864,230110,1,2,2,2,0,0,0,0000000,0
17865,230111,1,1,1,1,0,0,0,0000000,0
17866,230112,1,2,2,2,0,0,0,0000000,0
17867,230113,1,4,2,2,0,0,0,0000000,0
17868,230114,2,2,1,1,0,0,0,0000000,0
17869,230115,2,2,2,2,0,0,0,0000000,0
17870,230116,1,2,2,2,0,0,0,0000000,0
17871,230117,1,1,1,1,0,0,0,0000000,0
17872,230118,1,5,3,3,0,0,0,0000000,0
17873,230119,1,1,1,1,1,1,0,0000000,0
17874,230120,1,2,3,2,0,0,0,0000000,0
17875,230121,1,1,1,1,0,0,0,0000000,0
17876,230122,1,1,1,1,0,0,0,0000000,0
17877,230123,1,1,1,1,0,0,0,0000000,0
17878,230124,1,1,1,1,0,0,0,0000000,0
17879,230125,1,1,1,1,0,0,0,0000000,0
17880,230126,1,1,1,1,0,0,0,0000000,0
17881,230127,2,4,2,2,0,0,0,0000000,0
17882,230128,1,1,1,1,1,1,0,0000000,0
17883,230129,1,2,2,2,0,0,0,0000000,0
17884,230130,1,1,2,2,1,1,0,0000000,0
17885,230131,1,1,1,1,0,0,0,0000000,0
17886,230132,1,1,1,1,1,1,0,0000000,0
17887,230133,1,1,1,1,0,0,0,0000000,0
17888,230134,1,1,1,1,0,0,0,0000000,0
17889,230135,1,1,1,1,0,0,0,0000000,0
17890,230136,1,4,3,3,0,0,1,0000000,0
17891,230137,1,2,2,2,0,0,0,0000000,0
17892,230138,1,1,1,1,0,0,0,0000000,0
17893,230139,1,1,1,1,0,0,0,0000000,0
17894,230140,1,6,4,4,1,1,0,0000000,0
17895,230141,1,1,1,1,0,0,0,0000000,0
17896,230142,1,5,1,1,0,0,0,0000000,0
17897,230143,1,1,1,1,1,1,0,0000000,0
17898,230144,1,1,1,1,0,0,0,0000000,0
17899,230145,1,1,1,1,1,1,0,0000000,0
17900,230146,1,1,1,1,0,0,0,0000000,0
17901,230147,1,4,4,4,0,0,0,0000000,0
17902,230148,1,2,2,2,0,0,0,0000000,0
17903,230149,1,2,1,1,1,1,0,0000000,0
17904,230150,2,2,2,2,0,0,0,0000000,0
17905,230152,1,4,1,1,1,1,0,0000000,0
17906,230153,1,1,1,1,1,1,0,0000000,0
17907,230154,1,1,1,1,0,0,0,0000000,0
17908,230155,1,1,1,1,1,1,0,0000000,0
17909,230156,1,1,1,1,0,0,0,0000000,0
17910,230157,1,1,1,1,0,0,0,0000000,0
17911,230158,1,1,1,1,0,0,0,0000000,0
17912,230159,1,3,2,2,0,0,0,0000000,0
17913,230160,1,1,1,1,0,0,0,0000000,0
17914,230161,1,3,2,2,0,0,0,0000000,0
17915,230162,1,6,3,3,0,0,0,0000000,0
17916,230163,1,0,1,1,1,1,0,0000000,0
17917,230164,1,1,1,1,0,0,0,0000000,0
17918,230165,1,1,1,1,0,0,0,0000000,0
17919,230166,1,1,1,1,0,0,0,0000000,0
17920,230167,1,1,1,1,1,1,0,0000000,0
17921,230168,1,1,1,1,0,0,0,0000000,0
17922,230169,1,4,2,2,0,0,0,0000000,0
17923,230170,1,1,1,1,0,0,0,0000000,0
17924,230171,4,7,1,1,0,0,0,0000000,0
17925,230172,1,1,1,1,0,0,0,0000000,0
17926,240001,1,2,2,2,0,0,0,0000000,0
17927,240002,1,4,2,2,0,0,0,0000000,0
17928,240003,1,1,1,1,1,1,0,0000000,0
17929,240004,1,2,2,2,0,0,0,0000000,4
17930,240005,3,5,2,1,0,1,0,0000000,2
17931,240006,1,1,1,1,0,0,0,0000000,0
17932,240008,1,1,1,1,0,0,0,0000000,0
17933,240009,1,1,1,1,0,0,0,0000000,0
17934,240010,1,1,1,1,1,1,0,0000000,0
17935,240011,1,1,1,1,1,1,0,0000000,0
17936,240012,1,1,1,1,1,1,0,0000000,0
17937,240014,1,2,1,1,1,1,0,0000000,0
17938,240015,1,3,2,2,0,0,0,0000000,0
17939,240016,1,1,1,1,1,1,0,0000000,0
17940,240017,1,1,1,1,1,1,0,0000000,0
17941,240018,1,2,1,1,0,0,0,0000000,0
17942,240019,1,1,1,1,0,0,0,0000000,0
17943,240020,1,1,1,1,1,1,0,0000000,0
17944,240021,1,9,2,2,0,0,0,0000000,0
17945,240022,1,1,1,1,0,0,0,0000000,0
17946,240023,1,1,1,1,0,0,0,0000000,0
17947,240024,1,2,1,1,0,0,0,0000000,0
17948,240025,3,3,2,2,0,0,0,0000000,0
17949,240026,1,1,1,1,0,0,0,0000000,0
17950,240027,1,1,1,1,0,0,0,0000000,0
17951,240028,4,5,2,2,0,0,0,0000000,0
17952,240029,1,1,1,1,0,0,0,0000000,0
17953,240030,1,3,3,3,0,0,0,0000000,0
17954,240031,1,3,2,2,0,0,0,0000000,0
17955,240032,1,2,2,2,0,0,0,0000000,0
17956,240033,1,1,1,1,1,1,0,0000000,0
17957,240034,1,1,1,1,0,0,0,845057L,0
17958,240035,1,1,1,1,0,0,0,0000000,0
17959,240036,1,2,2,2,0,0,0,0000000,0
17960,240037,1,1,1,1,0,0,0,0000000,0
17961,240038,1,1,1,1,0,0,0,0000000,0
17962,240039,1,2,2,2,0,0,0,0000000,0
17963,240040,1,2,2,2,0,0,0,0000000,0
17964,240041,1,2,2,2,0,0,0,0000000,0
17965,240042,1,1,1,1,1,1,0,0000000,0
17966,240043,1,1,1,1,0,0,0,0000000,0
17967,240044,1,1,1,1,0,0,0,0000000,0
17968,240045,1,1,2,1,0,0,0,0000000,0
17969,240046,1,1,1,1,0,0,0,0000000,0
17970,240047,1,2,1,1,0,0,0,0000000,0
17971,240048,1,9,3,3,0,0,0,0000000,0
17972,240049,1,2,2,2,0,0,0,0000000,0
17973,240050,1,1,1,1,0,0,0,0000000,0
17974,240051,1,2,2,2,0,0,0,0000000,0
